,0
0,-1.0728485687344658
1,-6.038241634824612
2,1.6069704986677893
3,-1.1871700539111079
4,2.597583261628058
5,2.854907222713755
6,-9.315424951855018
7,-5.71643784437286
8,-0.9310799848012218
9,-5.07052922325092
